player_name,challenge_wins,challenge_appearances,sit_outs,votes_for_bootee,votes_against_player,total_votes,tribal_council_appearances,total_days,exile_days,reward_chl_win,reward_chl_teammates,reward_chl_win_perc,immun_chl_win,immun_chl_teammates,immun_chl_win_perc,season,episode
Skupin,0.2,0.2,,,6.0,6.0,1.0,3.0,,1.0,5.0,0.2,,,,2,6
Tina,0.2,0.4,,,,,,3.0,,0.0,5.0,0.0,1.0,5.0,0.2,2,5
Colby,0.2,0.4,,,,,,3.0,,0.0,5.0,0.0,1.0,5.0,0.2,2,5
Keith,0.2,0.4,,,,,,3.0,,0.0,5.0,0.0,1.0,5.0,0.2,2,5
Elisabeth,0.2,0.3428571429,,1.0,,7.0,1.0,3.0,,1.0,5.0,0.2,0.0,7.0,0.0,2,5
Rodger,0.0,0.3428571429,1.0,1.0,,7.0,1.0,3.0,,,5.0,0.0,0.0,7.0,0.0,2,5
Amber,0.2,0.4,,,,,,3.0,,0.0,5.0,0.0,1.0,5.0,0.2,2,5
Nick,0.2,0.3428571429,,1.0,,7.0,1.0,3.0,,1.0,5.0,0.2,0.0,7.0,0.0,2,5
Jerri,0.2,0.4,,,,,,3.0,,0.0,5.0,0.0,1.0,5.0,0.2,2,5
Alicia,0.2,0.3428571429,,1.0,,7.0,1.0,3.0,,1.0,5.0,0.2,0.0,7.0,0.0,2,5
Varner,0.2,0.3428571429,,1.0,1.0,7.0,1.0,3.0,,1.0,5.0,0.2,0.0,7.0,0.0,2,5
Skupin,0.2,0.3428571429,,1.0,,7.0,1.0,3.0,,1.0,5.0,0.2,0.0,7.0,0.0,2,5
Kimmi,0.0,0.3428571429,1.0,0.0,6.0,7.0,1.0,3.0,,,5.0,0.0,0.0,7.0,0.0,2,5
Tina,0.0,0.3333333333,,1.0,,6.0,1.0,3.0,,0.0,6.0,0.0,0.0,6.0,0.0,2,4
Colby,0.0,0.3333333333,,1.0,,6.0,1.0,3.0,,0.0,6.0,0.0,0.0,6.0,0.0,2,4
Keith,0.0,0.3333333333,,1.0,3.0,6.0,1.0,3.0,,0.0,6.0,0.0,0.0,6.0,0.0,2,4
Elisabeth,0.2857142857,0.2857142857,,,,,,3.0,,1.0,7.0,0.1428571429,1.0,7.0,0.1428571429,2,4
Rodger,0.2857142857,0.2857142857,,,,,,3.0,,1.0,7.0,0.1428571429,1.0,7.0,0.1428571429,2,4
Amber,0.0,0.3333333333,,0.0,,6.0,1.0,3.0,,0.0,6.0,0.0,0.0,6.0,0.0,2,4
Nick,0.2857142857,0.2857142857,,,,,,3.0,,1.0,7.0,0.1428571429,1.0,7.0,0.1428571429,2,4
Jerri,0.0,0.3333333333,,0.0,,6.0,1.0,3.0,,0.0,6.0,0.0,0.0,6.0,0.0,2,4
Alicia,0.2857142857,0.2857142857,,,,,,3.0,,1.0,7.0,0.1428571429,1.0,7.0,0.1428571429,2,4
Varner,0.2857142857,0.2857142857,,,,,,3.0,,1.0,7.0,0.1428571429,1.0,7.0,0.1428571429,2,4
Skupin,0.2857142857,0.2857142857,,,,,,3.0,,1.0,7.0,0.1428571429,1.0,7.0,0.1428571429,2,4
Kimmi,0.2857142857,0.2857142857,,,,,,3.0,,1.0,7.0,0.1428571429,1.0,7.0,0.1428571429,2,4
Mitchell,0.0,0.3333333333,,0.0,3.0,6.0,1.0,3.0,,0.0,6.0,0.0,0.0,6.0,0.0,2,4
Tina,0.1428571429,0.2857142857,,1.0,,7.0,1.0,3.0,,1.0,7.0,0.1428571429,0.0,7.0,0.0,2,3
Colby,0.1428571429,0.2857142857,,1.0,,7.0,1.0,3.0,,1.0,7.0,0.1428571429,0.0,7.0,0.0,2,3
Keith,0.1428571429,0.2857142857,,0.0,,7.0,1.0,3.0,,1.0,7.0,0.1428571429,0.0,7.0,0.0,2,3
Elisabeth,0.1428571429,0.2857142857,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,2,3
Rodger,0.1428571429,0.2857142857,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,2,3
Amber,0.1428571429,0.2857142857,,1.0,,7.0,1.0,3.0,,1.0,7.0,0.1428571429,0.0,7.0,0.0,2,3
Nick,0.1428571429,0.2857142857,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,2,3
Jerri,0.1428571429,0.2857142857,,1.0,1.0,7.0,1.0,3.0,,1.0,7.0,0.1428571429,0.0,7.0,0.0,2,3
Alicia,0.1428571429,0.2857142857,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,2,3
Varner,0.1428571429,0.2857142857,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,2,3
Skupin,0.1428571429,0.2857142857,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,2,3
Kimmi,0.1428571429,0.2857142857,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,2,3
