episode,voted_off_next,total_days,exile_days,votes_for_bootee,votes_against_player,total_votes,tribal_council_appearances,challenge_wins,challenge_appearances,sit_outs,reward_chl_win,reward_chl_teammates,reward_chl_win_perc,immun_chl_win,immun_chl_teammates,immun_chl_win_perc,cumsum_total_days,cumsum_exile_days,cumsum_votes_for_bootee,cumsum_votes_against_player,cumsum_total_votes,cumsum_tribal_council_appearances,cumsum_challenge_wins,cumsum_challenge_appearances,cumsum_sit_outs,cumsum_reward_chl_win,cumsum_reward_chl_teammates,cumsum_reward_chl_win_perc,cumsum_immun_chl_win,cumsum_immun_chl_teammates,cumsum_immun_chl_win_perc
66,0,33.0,0.0,5.0,3.0,42.0,6.0,2.1833333333000002,8.1273809523,0.0,4.0,49.0,0.8166666667,3.0,27.0,1.3666666667,198.0,0.0,33.0,27.0,250.0,35.0,10.5999999997,27.6988095231,0.0,25.0,372.0,4.9000000003,18.0,208.0,5.7000000003
36,1,24.0,0.0,4.0,3.0,30.0,5.0,0.944047619,2.1273809523000002,2.0,4.0,46.0,0.6345238096,2.0,24.0,0.30952380960000003,108.0,0.0,15.0,3.0,108.0,16.0,5.2666666664,9.3166666662,10.0,23.0,228.0,3.4333333338000003,12.0,130.0,1.8333333338000002
10,1,12.0,0.0,1.0,5.0,21.0,3.0,0.3333333333,1.0773809523,0.0,1.0,27.0,0.1666666667,1.0,19.0,0.1666666667,30.0,0.0,4.0,8.0,59.0,8.0,0.6666666666,2.357142857,0.0,2.0,71.0,0.3333333334,2.0,39.0,0.3333333334
66,0,33.0,0.0,5.0,2.0,42.0,6.0,2.9333333333000002,8.1273809523,1.0,4.0,49.0,1.5666666667,3.0,27.0,1.3666666667,198.0,0.0,24.0,20.0,250.0,35.0,9.5999999997,27.6988095231,4.0,22.0,372.0,4.9000000003,17.0,208.0,4.7000000003
66,1,33.0,0.0,5.0,7.0,51.0,8.0,0.944047619,8.1273809523,1.0,4.0,49.0,0.6345238096,2.0,27.0,0.30952380960000003,198.0,0.0,31.0,9.0,242.0,37.0,8.0988095234,27.6988095231,9.0,35.0,372.0,5.3369047626,18.0,208.0,2.7619047626000004
66,0,33.0,0.0,5.0,2.0,42.0,6.0,1.1833333333,8.1273809523,0.0,4.0,49.0,0.8166666667,2.0,27.0,0.36666666670000003,198.0,0.0,27.0,3.0,250.0,35.0,7.5999999997,27.6988095231,0.0,25.0,372.0,4.9000000003,15.0,208.0,2.7000000003
6,1,9.0,0.0,0.0,5.0,8.0,1.0,0.4107142857,0.744047619,0.0,2.0,21.0,0.2678571429,1.0,13.0,0.1428571429,18.0,0.0,0.0,5.0,8.0,1.0,0.9464285714,1.2797619047,0.0,5.0,44.0,0.6607142858,2.0,20.0,0.2857142858
1,0,3.0,0.0,0.0,6.0,8.0,1.0,0.0,0.125,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,8.0,1.0,0.0,0.125,0.0,0.0,8.0,0.0,0.0,0.0,0.0
45,1,27.0,0.0,5.0,6.0,38.0,6.0,0.944047619,4.1273809523,2.0,4.0,47.0,0.6345238096,2.0,25.0,0.30952380960000003,135.0,0.0,21.0,7.0,146.0,22.0,6.2107142854,13.4440476185,12.0,27.0,275.0,4.0678571434,14.0,155.0,2.1428571434
55,1,30.0,0.0,5.0,5.0,45.0,7.0,0.944047619,6.1273809523,1.0,4.0,48.0,0.6345238096,2.0,26.0,0.30952380960000003,165.0,0.0,26.0,8.0,191.0,29.0,7.1547619044,19.571428570800002,8.0,31.0,323.0,4.7023809530000005,16.0,181.0,2.4523809530000005
